Order_ID,Product_ID,Quantity,Sales
CA-2014-113670,OFF-PA-10000675,5,205
CA-2014-109701,OFF-PA-10003724,2,11
CA-2014-153227,OFF-PA-10001838,2,12
CA-2014-161578,OFF-PA-10002986,2,13
CA-2011-153808,OFF-AR-10001725,3,71
CA-2011-110849,OFF-AR-10000657,5,11
CA-2011-110849,OFF-AR-10002375,4,13
CA-2011-116785,OFF-AR-10003504,5,21
US-2011-154879,OFF-AR-10001897,6,108
CA-2011-115812,OFF-AR-10002833,4,7
CA-2011-114643,OFF-AR-10003631,3,15
CA-2011-109218,OFF-AR-10001374,5,32
CA-2011-122679,OFF-AR-10004757,6,20
CA-2011-106439,OFF-AR-10001419,3,12
CA-2011-153619,OFF-AR-10001868,4,7
CA-2011-105270,OFF-AR-10003156,3,30
US-2011-144078,OFF-AR-10004707,3,7
CA-2011-133830,OFF-AR-10003045,9,26
CA-2011-138737,OFF-AR-10003190,3,9
CA-2011-156594,OFF-AR-10001725,2,47
CA-2011-156594,OFF-AR-10004269,1,4
CA-2012-151253,OFF-AR-10004691,3,64
CA-2012-115945,OFF-AR-10004062,2,21
CA-2012-153388,OFF-AR-10001868,4,7
CA-2012-167745,OFF-AR-10003602,2,12
CA-2012-144652,OFF-AR-10003732,7,19
CA-2012-105347,OFF-AR-10003045,5,15
CA-2012-115693,OFF-AR-10003582,2,56
CA-2012-134117,OFF-AR-10003903,5,205
CA-2012-134117,OFF-AR-10001940,5,16
CA-2013-146437,OFF-AR-10000588,2,40
US-2013-115819,OFF-AR-10000823,3,5
US-2013-115819,OFF-AR-10004456,5,73
CA-2013-140256,OFF-AR-10002255,2,6
US-2013-100405,OFF-AR-10000390,2,8
CA-2013-126732,OFF-AR-10004752,7,19
CA-2013-109806,OFF-AR-10004930,3,20
CA-2013-161746,OFF-AR-10000390,3,12
CA-2013-158694,OFF-AR-10001227,5,15
US-2013-112970,OFF-AR-10003829,3,10
CA-2013-107104,OFF-AR-10004269,9,37
CA-2013-104689,OFF-AR-10001149,8,23
US-2013-103674,OFF-AR-10004752,7,19
CA-2013-129868,OFF-AR-10001897,3,54
CA-2014-160934,OFF-AR-10003504,5,21
CA-2014-134838,OFF-AR-10000634,3,13
CA-2014-110478,OFF-AR-10001573,4,9
CA-2014-143084,OFF-AR-10002766,5,14
US-2014-120117,OFF-AR-10000817,2,6
CA-2014-168228,OFF-AR-10001725,2,47
CA-2014-168228,OFF-AR-10003373,4,124
CA-2014-168228,OFF-AR-10000390,3,12
CA-2014-154501,OFF-AR-10002804,2,10
CA-2014-147844,OFF-AR-10001615,3,60
US-2014-151127,OFF-AR-10002445,7,50
CA-2014-143343,OFF-AR-10002375,5,16
CA-2014-135167,OFF-AR-10002399,1,4
CA-2014-138149,OFF-AR-10000255,2,12
CA-2014-137498,OFF-AR-10003829,2,7
CA-2014-102974,OFF-AR-10000914,2,23
CA-2014-102974,OFF-AR-10004956,3,17
US-2014-141509,OFF-AR-10002067,5,99
CA-2014-112431,OFF-AR-10000940,2,6
CA-2014-100013,OFF-AR-10001022,2,6
CA-2014-124261,OFF-AR-10003504,8,34
CA-2014-109701,OFF-AR-10001868,6,10
CA-2014-102407,OFF-AR-10000122,2,11
CA-2014-102099,OFF-AR-10003811,3,7
CA-2014-163405,OFF-AR-10001246,2,6
CA-2014-163405,OFF-AR-10003811,3,7
CA-2011-120838,OFF-ST-10000585,2,330
US-2011-120740,OFF-AP-10000240,2,107
CA-2011-146528,OFF-SU-10002522,4,16
CA-2011-169642,OFF-ST-10002574,2,276
CA-2011-101931,OFF-ST-10003442,5,141
CA-2011-101931,OFF-SU-10000646,2,481
CA-2011-101931,OFF-SU-10002301,2,6
CA-2011-140732,OFF-AP-10001626,2,8
CA-2011-127558,OFF-SU-10002537,2,20
CA-2011-119144,OFF-ST-10000991,3,345
US-2011-157385,OFF-EN-10003160,3,22
CA-2011-150203,OFF-AP-10001469,6,250
CA-2011-106726,OFF-ST-10001496,7,1261
CA-2011-162992,OFF-FA-10004248,5,23
CA-2011-162992,OFF-LA-10001934,2,15
CA-2011-120243,OFF-LA-10004425,4,12
CA-2012-116092,OFF-AP-10001391,6,541
CA-2012-142601,OFF-ST-10002756,7,947
CA-2012-149972,OFF-FA-10002763,2,8
CA-2012-168760,OFF-AP-10004532,3,61
US-2012-119312,OFF-ST-10000943,14,270
CA-2012-152527,OFF-ST-10003479,2,78
CA-2012-137708,OFF-ST-10004634,3,34
CA-2012-118871,OFF-EN-10003296,3,271
CA-2012-110870,OFF-SU-10001225,7,26
CA-2012-125423,OFF-LA-10001771,2,10
CA-2013-125206,OFF-ST-10003692,2,114
CA-2013-139010,OFF-ST-10001809,5,449
CA-2013-131380,OFF-ST-10002485,4,88
CA-2013-130638,OFF-LA-10002195,9,28
CA-2013-138688,OFF-LA-10000240,2,15
CA-2013-123512,OFF-LA-10000081,6,23
CA-2013-144015,OFF-FA-10000624,5,18
CA-2013-144015,OFF-SU-10003505,2,232
CA-2013-130029,OFF-FA-10001135,2,4
CA-2013-111115,OFF-FA-10000624,6,21
CA-2013-155187,OFF-ST-10000642,2,42
CA-2013-114972,OFF-AP-10003057,4,1101
CA-2013-114972,OFF-LA-10004545,7,88
CA-2013-161669,OFF-LA-10004093,2,15
CA-2013-161669,OFF-SU-10002503,2,11
CA-2013-158694,OFF-AP-10000055,4,130
CA-2013-158694,OFF-ST-10001496,4,721
US-2013-111528,OFF-ST-10001526,4,481
CA-2014-164707,OFF-LA-10004345,2,10
CA-2014-117212,OFF-AP-10004532,4,82
CA-2014-122007,OFF-AP-10000358,7,91
CA-2014-108539,OFF-ST-10003208,4,726
CA-2014-132178,OFF-ST-10000025,8,763
CA-2014-132178,OFF-ST-10000464,2,70
CA-2014-140963,OFF-LA-10003923,2,30
CA-2014-141481,OFF-AP-10004532,3,61
CA-2014-138149,OFF-ST-10002974,3,131
US-2014-143175,OFF-ST-10003123,3,100
CA-2014-169327,OFF-AP-10001492,5,43
US-2014-157224,OFF-LA-10000121,9,57
CA-2014-165155,OFF-ST-10004950,1,16
CA-2014-109701,OFF-AP-10002765,3,79
CA-2014-102407,OFF-AP-10001394,1,189
CA-2014-161578,OFF-ST-10002289,5,159
CA-2011-110849,OFF-FA-10000134,2,12
CA-2011-116785,OFF-LA-10000305,2,13
CA-2011-114125,OFF-LA-10004559,1,3
CA-2011-114125,OFF-ST-10001505,4,24
CA-2011-110184,OFF-ST-10000107,9,250
CA-2011-104178,OFF-ST-10004258,4,49
CA-2011-146969,OFF-FA-10001561,4,9
CA-2011-146969,OFF-ST-10004340,1,62
CA-2011-106439,OFF-FA-10002975,3,11
CA-2011-106439,OFF-ST-10003996,5,80
CA-2011-106439,OFF-ST-10001963,4,406
CA-2012-121776,OFF-LA-10002762,7,88
US-2012-120502,OFF-AP-10004980,2,76
CA-2012-115420,OFF-EN-10003862,2,21
CA-2012-165162,OFF-ST-10003470,4,1118
CA-2012-149846,OFF-LA-10004484,2,8
CA-2012-149846,OFF-ST-10002406,7,105
CA-2012-132906,OFF-SU-10004498,4,52
CA-2012-100573,OFF-EN-10000461,2,17
CA-2012-129532,OFF-ST-10004186,2,222
CA-2012-148376,OFF-AP-10000240,2,107
CA-2012-148376,OFF-LA-10002381,7,22
CA-2013-130477,OFF-ST-10002583,2,65
CA-2013-138282,OFF-AP-10001366,8,88
CA-2013-134803,OFF-AP-10000891,2,262
CA-2013-167241,OFF-ST-10001505,3,18
CA-2013-130162,OFF-ST-10001328,6,93
CA-2013-166226,OFF-AP-10002867,1,68
CA-2013-145919,OFF-SU-10003505,5,579
CA-2014-145807,OFF-ST-10001370,5,355
CA-2014-129294,OFF-AP-10001154,3,141
CA-2014-129294,OFF-ST-10002615,2,310
US-2014-160143,OFF-SU-10004231,3,30
CA-2014-164959,OFF-LA-10004272,3,9
CA-2014-141929,OFF-ST-10002974,5,218
CA-2014-100825,OFF-ST-10003123,3,100
CA-2014-105914,OFF-ST-10003716,7,1575
CA-2011-112291,OFF-EN-10001415,2,11
US-2011-154879,OFF-LA-10004425,2,6
CA-2011-115812,OFF-AP-10002892,5,115
CA-2011-133704,OFF-AP-10001366,4,44
CA-2011-168305,OFF-LA-10003498,3,44
CA-2011-133830,OFF-FA-10002280,3,15
US-2011-167738,OFF-ST-10003306,1,143
US-2011-138247,OFF-AP-10000828,2,362
US-2011-138247,OFF-ST-10002301,1,20
CA-2012-111234,OFF-LA-10002271,3,9
CA-2012-121965,OFF-EN-10000056,3,187
CA-2012-115945,OFF-ST-10001963,3,304
CA-2012-162369,OFF-ST-10000046,2,323
US-2012-139759,OFF-AP-10002765,4,106
CA-2012-121188,OFF-ST-10000736,9,729
CA-2012-121188,OFF-ST-10001490,5,892
CA-2012-167745,OFF-SU-10004782,2,17
CA-2012-103835,OFF-AP-10002651,4,1158
CA-2012-129546,OFF-AP-10002495,3,186
CA-2012-129546,OFF-SU-10004884,3,47
CA-2012-160171,OFF-AP-10000275,5,1641
CA-2012-153416,OFF-ST-10000060,7,455
CA-2012-149566,OFF-LA-10000452,4,13
CA-2012-158456,OFF-FA-10004854,4,46
CA-2012-135580,OFF-EN-10003296,3,271
CA-2012-135580,OFF-ST-10000798,3,75
CA-2013-101189,OFF-ST-10004180,2,93
US-2013-143280,OFF-FA-10000992,3,11
CA-2013-137729,OFF-ST-10001505,1,6
US-2013-155971,OFF-LA-10000452,7,22
CA-2013-113243,OFF-LA-10001297,2,21
CA-2013-118913,OFF-AP-10000692,3,61
CA-2013-101343,OFF-ST-10003479,2,78
CA-2013-140046,OFF-LA-10000305,3,19
CA-2013-107328,OFF-AP-10004487,6,488
CA-2013-126732,OFF-ST-10000321,3,24
CA-2013-100944,OFF-EN-10001453,5,305
CA-2013-161746,OFF-ST-10002743,3,341
CA-2013-144218,OFF-ST-10002615,7,1085
CA-2013-109365,OFF-AP-10002998,2,43
CA-2013-109365,OFF-FA-10001561,7,15
CA-2013-145492,OFF-AP-10003622,12,39
CA-2013-107104,OFF-AP-10000055,2,65
CA-2013-161025,OFF-ST-10001932,4,773
US-2013-103674,OFF-FA-10003467,7,14
CA-2013-129868,OFF-AP-10004052,2,8
CA-2013-129868,OFF-SU-10000952,2,18
CA-2014-161333,OFF-AP-10000252,4,47
CA-2014-161333,OFF-ST-10000464,4,139
CA-2014-110478,OFF-EN-10000483,1,15
CA-2014-143084,OFF-EN-10003072,5,19
CA-2014-140515,OFF-AP-10001205,7,381
CA-2014-128965,OFF-FA-10001561,5,11
CA-2014-128965,OFF-LA-10003190,8,23
CA-2014-128965,OFF-LA-10001404,2,7
CA-2014-139437,OFF-ST-10002485,4,88
CA-2014-106824,OFF-FA-10001135,3,6
CA-2014-162012,OFF-AP-10003040,5,168
CA-2014-117261,OFF-ST-10000419,4,54
US-2014-115609,OFF-AP-10003040,5,168
CA-2014-100013,OFF-EN-10001219,2,15
CA-2014-110842,OFF-AP-10003971,1,11
CA-2014-126242,OFF-ST-10000675,9,305
CA-2014-121398,OFF-ST-10002756,2,271
CA-2011-157147,OFF-AR-10003514,5,20
CA-2011-157147,OFF-ST-10000078,5,1326
CA-2011-128237,OFF-AR-10000034,6,25
CA-2011-128237,OFF-AR-10003338,2,15
CA-2011-128237,OFF-AR-10003829,2,7
CA-2011-141838,OFF-AR-10004272,2,3
CA-2011-128055,OFF-AP-10002765,2,53
CA-2011-105172,OFF-LA-10001641,6,19
CA-2011-133851,OFF-AR-10003752,2,23
CA-2011-133851,OFF-SU-10001225,2,7
CA-2011-113271,OFF-AR-10003251,2,6
CA-2011-116932,OFF-AR-10002067,5,99
CA-2011-117464,OFF-AR-10003190,4,12
CA-2011-117464,OFF-ST-10003058,10,237
CA-2011-145254,OFF-SU-10004664,5,41
CA-2011-143917,OFF-ST-10001228,4,54
CA-2011-143917,OFF-SU-10000151,5,8188
CA-2011-150490,OFF-AR-10004602,2,46
CA-2011-150490,OFF-ST-10000321,2,16
US-2011-164406,OFF-AP-10003287,3,153
CA-2011-143336,OFF-AR-10003056,2,9
CA-2011-130449,OFF-LA-10001934,8,58
CA-2011-168592,OFF-AP-10004785,5,57
CA-2011-168592,OFF-FA-10002988,2,4
CA-2011-168592,OFF-ST-10002406,1,15
CA-2011-159849,OFF-FA-10000053,3,6
CA-2011-156433,OFF-LA-10001569,2,10
CA-2011-153969,OFF-AR-10001615,3,60
CA-2011-153969,OFF-EN-10004483,5,78
CA-2011-153969,OFF-EN-10001539,2,16
CA-2011-123344,OFF-ST-10001713,4,212
CA-2011-138240,OFF-AR-10002135,3,145
CA-2011-139451,OFF-AR-10002053,5,15
CA-2011-139451,OFF-ST-10002370,1,21
CA-2011-155264,OFF-LA-10002787,5,19
CA-2011-115889,OFF-ST-10003208,2,363
CA-2011-144666,OFF-ST-10001321,6,93
CA-2011-144666,OFF-ST-10002743,3,341
CA-2011-128622,OFF-SU-10001574,3,11
CA-2011-140662,OFF-AP-10001242,3,241
CA-2011-105249,OFF-LA-10002043,4,41
CA-2011-105249,OFF-SU-10001225,2,7
CA-2011-159800,OFF-AP-10004859,3,44
CA-2011-153983,OFF-FA-10003495,5,30
CA-2011-110786,OFF-LA-10001474,9,275
CA-2012-158701,OFF-AP-10004859,6,87
CA-2012-155306,OFF-AP-10002651,5,1448
CA-2012-155306,OFF-AR-10003251,2,6
CA-2012-103716,OFF-AR-10000658,3,35
CA-2012-104486,OFF-ST-10000876,3,37
CA-2012-104486,OFF-SU-10002573,2,35
CA-2012-150770,OFF-AR-10001246,3,9
CA-2012-136735,OFF-EN-10002230,2,168
CA-2012-130456,OFF-ST-10000736,1,81
CA-2012-130204,OFF-ST-10001325,3,31
CA-2012-167255,OFF-ST-10001328,1,16
CA-2012-169201,OFF-AP-10002082,2,44
CA-2012-169201,OFF-AP-10000696,3,43
CA-2012-121391,OFF-ST-10001590,2,27
CA-2012-152891,OFF-AR-10004648,3,60
CA-2012-110289,OFF-EN-10001434,4,211
CA-2012-145485,OFF-ST-10000649,4,63
CA-2012-164497,OFF-AP-10004655,4,45
CA-2012-168634,OFF-AP-10001626,2,8
CA-2012-127502,OFF-LA-10001613,2,6
CA-2012-130113,OFF-ST-10000046,2,323
CA-2013-153661,OFF-LA-10004689,9,26
CA-2013-153661,OFF-ST-10000675,9,305
CA-2013-120005,OFF-SU-10004782,3,25
CA-2013-127138,OFF-AP-10003842,5,155
CA-2013-127138,OFF-EN-10004459,4,31
CA-2013-127138,OFF-ST-10002756,5,677
CA-2013-136301,OFF-SU-10000151,3,4913
CA-2013-123358,OFF-AP-10004980,3,114
CA-2013-123358,OFF-ST-10001932,3,580
CA-2013-123358,OFF-ST-10000636,9,151
CA-2013-152800,OFF-EN-10001509,3,6
CA-2013-122728,OFF-ST-10000604,3,104
CA-2013-107216,OFF-AR-10001545,4,7
CA-2013-107216,OFF-AR-10002255,3,9
CA-2013-140382,OFF-LA-10001934,3,22
CA-2013-140382,OFF-ST-10003638,4,94
CA-2013-147137,OFF-EN-10003567,2,44
CA-2013-147137,OFF-ST-10002486,4,28
CA-2013-109953,OFF-AP-10002998,7,152
CA-2013-144855,OFF-LA-10003766,2,6
CA-2013-149335,OFF-AR-10001419,9,37
CA-2013-112585,OFF-AP-10003849,2,716
CA-2013-150343,OFF-EN-10004030,3,11
CA-2013-120859,OFF-EN-10001335,2,22
CA-2013-113096,OFF-ST-10003455,3,47
US-2013-114888,OFF-SU-10001212,3,6
CA-2013-100244,OFF-AR-10000940,4,12
CA-2013-101385,OFF-AR-10004441,4,17
CA-2013-156811,OFF-AP-10001366,4,44
CA-2013-105494,OFF-ST-10002205,7,156
CA-2013-152940,OFF-ST-10000352,1,30
CA-2013-149482,OFF-LA-10000248,2,7
CA-2013-118500,OFF-SU-10004231,5,50
US-2013-108455,OFF-ST-10002214,3,34
CA-2013-115224,OFF-ST-10003816,2,352
CA-2013-115224,OFF-ST-10000615,3,34
CA-2013-131289,OFF-AR-10003056,2,9
CA-2014-111738,OFF-AR-10000817,3,9
CA-2014-108000,OFF-EN-10002621,1,10
CA-2014-144589,OFF-AR-10003631,5,24
CA-2014-150469,OFF-FA-10000611,8,12
CA-2014-139304,OFF-AR-10001216,3,8
CA-2014-139304,OFF-SU-10001664,1,9
CA-2014-164329,OFF-ST-10001511,2,129
CA-2014-112725,OFF-AR-10003759,7,13
CA-2014-112725,OFF-AR-10001227,3,9
CA-2014-125101,OFF-ST-10000675,2,68
CA-2014-167640,OFF-AR-10003158,6,24
CA-2014-167640,OFF-LA-10004559,4,12
CA-2014-116288,OFF-ST-10000736,3,243
CA-2014-147942,OFF-LA-10003663,2,6
US-2014-138086,OFF-AP-10000027,3,41
CA-2014-137876,OFF-EN-10001219,4,31
CA-2014-163209,OFF-AR-10003651,7,23
US-2014-141943,OFF-EN-10003448,2,23
US-2014-104451,OFF-AP-10000692,4,81
CA-2014-117632,OFF-AP-10004868,1,8
CA-2014-117632,OFF-SU-10000157,2,239
CA-2014-100748,OFF-LA-10000240,8,58
CA-2014-113530,OFF-AR-10001315,2,4
CA-2014-113530,OFF-AR-10000122,1,6
CA-2014-130106,OFF-AR-10003732,1,3
CA-2014-130106,OFF-AR-10003651,3,10
US-2014-131849,OFF-ST-10002957,5,26
CA-2014-159107,OFF-FA-10001332,1,3
CA-2014-130841,OFF-ST-10001580,1,15
CA-2014-161102,OFF-ST-10003442,2,57
CA-2014-168942,OFF-ST-10004340,3,187
CA-2014-168396,OFF-LA-10001297,5,52
US-2014-103828,OFF-AP-10004249,7,84
US-2014-103828,OFF-AR-10000588,3,60
US-2014-103828,OFF-ST-10001325,3,31
US-2014-103828,OFF-SU-10000946,4,32
CA-2014-169264,OFF-AR-10000246,6,17
CA-2014-169264,OFF-LA-10001613,2,6
CA-2014-119011,OFF-ST-10000777,6,227
CA-2014-119011,OFF-SU-10004768,3,17
CA-2014-132619,OFF-ST-10001511,3,194
CA-2014-110380,OFF-AR-10000422,3,7
CA-2014-161823,OFF-AR-10002053,2,6
CA-2014-144484,OFF-AP-10004487,5,407
US-2014-116652,OFF-AP-10001205,2,109
US-2014-116652,OFF-AR-10001915,10,99
CA-2014-130715,OFF-FA-10000621,5,18
CA-2014-106180,OFF-AR-10000940,3,9
CA-2014-106180,OFF-EN-10004030,3,11
CA-2014-123778,OFF-AP-10001242,2,161
CA-2014-130148,OFF-SU-10001574,2,7
US-2014-106145,OFF-EN-10001028,6,72
CA-2014-106033,OFF-AR-10002818,4,88
CA-2014-131492,OFF-EN-10002973,2,9
CA-2014-131492,OFF-LA-10001641,10,32
CA-2014-123491,OFF-AP-10002684,14,1702
CA-2014-123491,OFF-AR-10003514,5,20
CA-2014-123491,OFF-LA-10003077,6,44
US-2014-153948,OFF-LA-10000414,4,41
CA-2014-105130,OFF-AR-10003394,4,12
CA-2014-123701,OFF-AR-10001860,4,28
US-2014-133312,OFF-ST-10001325,1,10
CA-2014-101665,OFF-AR-10002335,2,5
CA-2014-116715,OFF-ST-10004340,9,560
CA-2014-117457,OFF-LA-10003766,9,28
CA-2014-117926,OFF-AP-10002670,1,69
CA-2014-108854,OFF-ST-10001837,1,43
CA-2014-122770,OFF-LA-10004559,3,9
CA-2014-158736,OFF-AR-10002578,2,6
US-2014-123463,OFF-AR-10001118,4,13
CA-2014-163979,OFF-ST-10003208,4,726
CA-2011-111857,OFF-PA-10001878,1,49
CA-2011-113271,OFF-PA-10002365,5,32
CA-2011-157546,OFF-PA-10004569,3,23
US-2011-164406,OFF-PA-10000167,3,93
CA-2011-135699,OFF-PA-10004475,2,110
CA-2011-135699,OFF-PA-10003001,2,13
CA-2011-156433,OFF-PA-10003724,4,22
CA-2011-153969,OFF-PA-10002246,3,19
CA-2011-153969,OFF-PA-10000327,9,39
CA-2011-155264,OFF-PA-10003228,3,147
CA-2011-144666,OFF-PA-10001509,7,63
CA-2011-144666,OFF-PA-10003465,5,95
CA-2011-140662,OFF-PA-10003395,7,734
CA-2011-103401,OFF-PA-10003309,2,13
CA-2011-154781,OFF-PA-10001609,2,7
US-2011-147648,OFF-PA-10001033,2,82
CA-2011-154592,OFF-PA-10000062,3,165
CA-2011-104976,OFF-PA-10003845,6,35
US-2011-106334,OFF-PA-10003657,3,13
CA-2011-110786,OFF-PA-10000528,4,21
CA-2012-155306,OFF-PA-10001184,2,12
CA-2012-159380,OFF-PA-10004239,6,26
CA-2012-159380,OFF-PA-10003893,3,13
CA-2012-144267,OFF-PA-10000157,3,60
CA-2012-144267,OFF-PA-10003657,1,4
CA-2012-144267,OFF-PA-10001947,4,24
CA-2012-167255,OFF-PA-10002377,3,147
CA-2012-167255,OFF-PA-10003441,2,13
CA-2012-109736,OFF-PA-10004101,7,45
CA-2012-110289,OFF-PA-10002986,5,33
CA-2013-106460,OFF-PA-10001736,2,71
CA-2013-122728,OFF-PA-10004040,3,18
CA-2013-105760,OFF-PA-10000350,2,17
CA-2013-140382,OFF-PA-10001019,1,20
CA-2013-100244,OFF-PA-10001471,9,66
CA-2013-100244,OFF-PA-10002319,2,78
CA-2013-165820,OFF-PA-10004735,2,13
CA-2013-134775,OFF-PA-10004734,7,51
CA-2013-163384,OFF-PA-10003172,5,32
US-2013-108455,OFF-PA-10002464,7,40
US-2013-108455,OFF-PA-10002262,4,26
CA-2013-112060,OFF-PA-10000994,1,105
CA-2013-131289,OFF-PA-10003363,7,45
CA-2014-154102,OFF-PA-10001593,5,30
CA-2014-167640,OFF-PA-10001033,7,287
CA-2014-150987,OFF-PA-10001878,5,245
CA-2014-150987,OFF-PA-10002923,4,196
US-2014-136784,OFF-PA-10000675,4,164
CA-2014-163209,OFF-PA-10001166,4,26
CA-2014-162978,OFF-PA-10002250,3,18
CA-2014-105214,OFF-PA-10001776,2,19
CA-2014-138870,OFF-PA-10004438,2,25
CA-2014-106180,OFF-PA-10004327,3,144
CA-2014-133074,OFF-PA-10004082,7,56
CA-2014-130148,OFF-PA-10000551,6,31
US-2014-106145,OFF-PA-10002245,6,36
CA-2014-167661,OFF-PA-10002581,2,62
CA-2014-123491,OFF-PA-10003424,2,7
CA-2014-148320,OFF-PA-10003022,6,36
US-2014-153948,OFF-PA-10000143,5,26
US-2014-153948,OFF-PA-10002764,4,45
US-2014-153948,OFF-PA-10000157,3,60
CA-2014-162250,OFF-PA-10002137,1,8
CA-2014-101245,OFF-PA-10003129,5,245
CA-2014-116715,OFF-PA-10004475,2,110
