Product_ID,Product_Name,Category,Sub_Category,Unit_Price,Size
OFF-PA-10002606,Xerox 1928,Office Supplies,Paper,5.333333333,11.33400689
OFF-PA-10003848,Xerox 1997,Office Supplies,Paper,6.5,68.55096357
OFF-PA-10000304,Xerox 1995,Office Supplies,Paper,6,73.79834591
OFF-PA-10000295,Xerox 229,Office Supplies,Paper,6.5,100.6873751
OFF-PA-10004451,Xerox 222,Office Supplies,Paper,6.4,35.74113464
OFF-PA-10003072,"Eureka Recycled Copy Paper 8 1/2"" x 11""",Office Supplies,Paper,6.5,34.86067858
OFF-PA-10000682,Xerox 1924,Office Supplies,Paper,5.75,136.6970472
OFF-PA-10001593,Xerox 1947,Office Supplies,Paper,6,125.1827001
OFF-PA-10002986,Xerox 1898,Office Supplies,Paper,6.5,127.3780348
OFF-AR-10001725,Boston Home & Office Model 2000 Electric Pencil Sharpeners,Office Supplies,Art,23.66666667,147.8848498
OFF-AR-10000657,Binney & Smith inkTank Desk Highlighter,Office Supplies,Art,2.2,66.45368812
OFF-AR-10002375,Newell 351,Office Supplies,Art,3.25,69.5998167
OFF-AR-10003504,Newell 347,Office Supplies,Art,4.2,105.426549
OFF-AR-10001897,Model L Table or Wall-Mount Pencil Sharpener,Office Supplies,Art,18,63.13766241
OFF-AR-10002833,Newell 322,Office Supplies,Art,1.75,96.34155777
OFF-AR-10003631,Staples,Office Supplies,Art,5,110.8466269
OFF-AR-10001374,BIC Brite Liner Highlighters,Office Supplies,Art,6.4,111.4736061
OFF-AR-10004757,Crayola Colored Pencils,Office Supplies,Art,3.333333333,2.90705467
OFF-AR-10001419,Newell 325,Office Supplies,Art,4,130.0810664
OFF-AR-10001868,Prang Dustless Chalk Sticks,Office Supplies,Art,1.75,14.48977782
OFF-AR-10003156,50 Colored Long Pencils,Office Supplies,Art,10,64.26268403
OFF-AR-10004707,Staples,Office Supplies,Art,2.333333333,106.5180123
OFF-AR-10003045,Prang Colored Pencils,Office Supplies,Art,2.888888889,65.32008455
OFF-AR-10003190,Newell 32,Office Supplies,Art,3,124.1279127
OFF-AR-10004269,Newell 31,Office Supplies,Art,4,70.89079182
OFF-AR-10004691,Boston 1730 StandUp Electric Pencil Sharpener,Office Supplies,Art,21.33333333,67.77812528
OFF-AR-10004062,Staples,Office Supplies,Art,10.5,53.73650886
OFF-AR-10003602,Quartet Omega Colored Chalk,Office Supplies,Art,6,53.59267198
OFF-AR-10003732,Newell 333,Office Supplies,Art,2.714285714,1.32349065
OFF-AR-10003582,Boston Electric Pencil Sharpener,Office Supplies,Art,28,17.47129458
OFF-AR-10003903,Sanford 52201 APSCO Electric Pencil Sharpener,Office Supplies,Art,41,30.66142493
OFF-AR-10001940,Sanford Colorific Eraseable Coloring Pencils,Office Supplies,Art,3.2,140.5043467
OFF-AR-10000588,Newell 345,Office Supplies,Art,20,109.3170213
OFF-AR-10000823,Newell 307,Office Supplies,Art,1.666666667,141.4489081
OFF-AR-10004456,Panasonic KP-4ABK Battery-Operated Pencil Sharpener,Office Supplies,Art,14.6,113.330644
OFF-AR-10002255,Newell 346,Office Supplies,Art,3,105.6228355
OFF-AR-10000390,Newell Chalk Holder,Office Supplies,Art,4,80.13268357
OFF-AR-10004752,Blackstonian Pencils,Office Supplies,Art,2.714285714,60.22134852
OFF-AR-10004930,Turquoise Lead Holder with Pocket Clip,Office Supplies,Art,6.666666667,3.790111022
OFF-AR-10001227,Newell 338,Office Supplies,Art,3,46.82618221
OFF-AR-10003829,Newell 35,Office Supplies,Art,3.333333333,1.5080815
OFF-AR-10001149,Sanford Colorific Colored Pencils,Office Supplies,Art,2.875,25.48116799
OFF-AR-10000634,Newell 320,Office Supplies,Art,4.333333333,80.98414768
OFF-AR-10001573,American Pencil,Office Supplies,Art,2.25,122.7349923
OFF-AR-10002766,Prang Drawing Pencil Set,Office Supplies,Art,2.8,35.19413293
OFF-AR-10000817,Manco Dry-Lighter Erasable Highlighter,Office Supplies,Art,3,55.82080229
OFF-AR-10003373,Boston School Pro Electric Pencil Sharpener,Office Supplies,Art,31,79.8685018
OFF-AR-10002804,Faber Castell Col-Erase Pencils,Office Supplies,Art,5,69.05679948
OFF-AR-10001615,Newell 34,Office Supplies,Art,20,46.239545
OFF-AR-10002445,SANFORD Major Accent Highlighters,Office Supplies,Art,7.142857143,131.7390789
OFF-AR-10002399,Dixon Prang Watercolor Pencils,Office Supplies,Art,4,52.56284649
OFF-AR-10000255,Newell 328,Office Supplies,Art,6,42.2839976
OFF-AR-10000914,Boston 16765 Mini Stand Up Battery Pencil Sharpener,Office Supplies,Art,11.5,119.4457278
OFF-AR-10004956,Newell 33,Office Supplies,Art,5.666666667,4.466853532
OFF-AR-10002067,Newell 334,Office Supplies,Art,19.8,78.04678843
OFF-AR-10000940,Newell 343,Office Supplies,Art,3,54.57508933
OFF-AR-10001022,SANFORD Liquid Accent Tank-Style Highlighters,Office Supplies,Art,3,17.78398603
OFF-AR-10000122,Newell 314,Office Supplies,Art,5.5,81.12510789
OFF-AR-10003811,Newell 327,Office Supplies,Art,2.333333333,87.2481536
OFF-AR-10001246,Newell 317,Office Supplies,Art,3,87.47121328
OFF-ST-10000585,Economy Rollaway Files,Office Supplies,Storage,165,114.3933192
OFF-AP-10000240,Belkin F9G930V10-GRY 9 Outlet Surge,Office Supplies,Appliances,53.5,14.95223564
OFF-SU-10002522,Acme Kleen Earth Office Shears,Office Supplies,Supplies,4,58.96909422
OFF-ST-10002574,SAFCO Commercial Wire Shelving,Office Supplies,Storage,138,123.3629658
OFF-ST-10003442,Eldon Portable Mobile Manager,Office Supplies,Storage,28.2,122.2554564
OFF-SU-10000646,Premier Automatic Letter Opener,Office Supplies,Supplies,240.5,35.32455107
OFF-SU-10002301,Serrated Blade or Curved Handle Hand Letter Openers,Office Supplies,Supplies,3,10.51833699
OFF-AP-10001626,Commercial WindTunnel Clean Air Upright Vacuum,Office Supplies,Appliances,4,139.2881616
OFF-SU-10002537,Acme Box Cutter Scissors,Office Supplies,Supplies,10,133.8519406
OFF-ST-10000991,Space Solutions HD Industrial Steel Shelving.,Office Supplies,Storage,115,88.9051909
OFF-EN-10003160,Pastel Pink Envelopes,Office Supplies,Envelopes,7.333333333,55.94623473
OFF-AP-10001469,Fellowes 8 Outlet Superior Workstation Surge Protector,Office Supplies,Appliances,41.66666667,65.3094018
OFF-ST-10001496,Standard Rollaway File with Lock,Office Supplies,Storage,180.1428571,122.848318
OFF-FA-10004248,Advantus T-Pin Paper Clips,Office Supplies,Fasteners,4.6,118.0063953
OFF-LA-10001934,Avery 516,Office Supplies,Labels,7.5,92.23487842
OFF-LA-10004425,Staples,Office Supplies,Labels,3,136.2449846
OFF-AP-10001391,Kensington 6 Outlet MasterPiece HOMEOFFICE Power Control Center,Office Supplies,Appliances,90.16666667,75.78710832
OFF-ST-10002756,Tennsco Stur-D-Stor Boltless Shelving,Office Supplies,Storage,135.2857143,33.35245215
OFF-FA-10002763,Advantus Map Pennant Flags and Round Head Tacks,Office Supplies,Fasteners,4,120.4428873
OFF-AP-10004532,Kensington 6 Outlet Guardian Standard Surge Protector,Office Supplies,Appliances,20.33333333,50.43198994
OFF-ST-10000943,Eldon ProFile File 'N Store Portable File Tub Letter/Legal Size Black,Office Supplies,Storage,19.28571429,114.326587
OFF-ST-10003479,Eldon Base for stackable storage shelf,Office Supplies,Storage,39,69.57223795
OFF-ST-10004634,Personal Folder Holder,Office Supplies,Storage,11.33333333,108.046874
OFF-EN-10003296,Tyvek Side-Opening Peel & Seel Expanding Envelopes,Office Supplies,Envelopes,90.33333333,58.5469802
OFF-SU-10001225,Staples,Office Supplies,Supplies,3.714285714,45.51780105
OFF-LA-10001771,Avery 513,Office Supplies,Labels,5,140.8026318
OFF-ST-10003692,Recycled Steel Personal File for Hanging File Folders,Office Supplies,Storage,57,36.08864274
OFF-ST-10001809,Fellowes Officeware Wire Shelving,Office Supplies,Storage,89.8,11.89293018
OFF-ST-10002485,Rogers Deluxe File Chest,Office Supplies,Storage,22,39.2969942
OFF-LA-10002195,Avery 481,Office Supplies,Labels,3.111111111,65.49862212
OFF-LA-10000240,Self-Adhesive Address Labels for Typewriters by Universal,Office Supplies,Labels,7.5,87.3582355
OFF-LA-10000081,Avery 496,Office Supplies,Labels,3.833333333,72.27208259
OFF-FA-10000624,OIC Binder Clips,Office Supplies,Fasteners,3.6,57.39593147
OFF-SU-10003505,Premier Electric Letter Opener,Office Supplies,Supplies,116,121.4507142
OFF-FA-10001135,Brites Rubber Bands,Office Supplies,Fasteners,2,102.539568
OFF-ST-10000642,Tennsco Lockers,Office Supplies,Storage,21,69.55954193
OFF-AP-10003057,Honeywell Enviracaire Portable HEPA Air Cleaner for 16' x 20' Room,Office Supplies,Appliances,275.25,14.48961378
OFF-LA-10004545,Avery 50,Office Supplies,Labels,12.57142857,92.3805555
OFF-LA-10004093,Avery 486,Office Supplies,Labels,7.5,133.039377
OFF-SU-10002503,Acme Preferred Stainless Steel Scissors,Office Supplies,Supplies,5.5,23.08602129
OFF-AP-10000055,Belkin F9S820V06 8 Outlet Surge,Office Supplies,Appliances,32.5,62.25796037
OFF-ST-10001526,Iceberg Mobile Mega Data/Printer Cart,Office Supplies,Storage,120.25,50.54540576
OFF-LA-10004345,Avery 493,Office Supplies,Labels,5,140.7245943
OFF-AP-10000358,Fellowes Basic Home/Office Series Surge Protectors,Office Supplies,Appliances,13,9.3693566
OFF-ST-10003208,Adjustable Depth Letter/Legal Cart,Office Supplies,Storage,181.5,82.89874964
OFF-ST-10000025,Fellowes Stor/Drawer Steel Plus Storage Drawers,Office Supplies,Storage,95.375,26.16572335
OFF-ST-10000464,Multi-Use Personal File Cart and Caster Set,Office Supplies,Storage,35,121.8185986
OFF-LA-10003923,Alphabetical Labels for Top Tab Filing,Office Supplies,Labels,15,22.4194954
OFF-ST-10002974,Trav-L-File Heavy-Duty Shuttle II,Office Supplies,Storage,43.66666667,105.6959179
OFF-ST-10003123,Fellowes Bases and Tops For Staxonsteel/High-Stak Systems,Office Supplies,Storage,33.33333333,81.4000708
OFF-AP-10001492,Acco Six-Outlet Power Strip,Office Supplies,Appliances,8.6,145.1851902
OFF-LA-10000121,Avery 48,Office Supplies,Labels,6.333333333,148.0859942
OFF-ST-10004950,Tenex Personal Filing Tote With Secure Closure Lid,Office Supplies,Storage,16,57.35581782
OFF-AP-10002765,Fellowes Advanced Computer Series Surge Protectors,Office Supplies,Appliances,26.33333333,13.719693
OFF-AP-10001394,Harmony Air Purifier,Office Supplies,Appliances,189,68.73246697
OFF-ST-10002289,Safco Wire Cube Shelving System,Office Supplies,Storage,31.8,6.17990307
OFF-FA-10000134,Advantus Push Pins,Office Supplies,Fasteners,6,83.03793862
OFF-LA-10000305,Avery 495,Office Supplies,Labels,6.5,30.95756033
OFF-LA-10004559,Avery 49,Office Supplies,Labels,3,115.1669751
OFF-ST-10001505,Perma STOR-ALL Hanging File Box,Office Supplies,Storage,6,60.99751331
OFF-ST-10000107,Fellowes Super Stor/Drawer,Office Supplies,Storage,27.77777778,130.1967085
OFF-ST-10004258,Portable Personal File Box,Office Supplies,Storage,12.25,5.653496666
OFF-FA-10001561,Stockwell Push Pins,Office Supplies,Fasteners,2.25,2.977323485
OFF-ST-10004340,Fellowes Mobile File Cart,Office Supplies,Storage,62,29.07657661
OFF-FA-10002975,Staples,Office Supplies,Fasteners,3.666666667,116.7859835
OFF-ST-10003996,Letter/Legal File Tote with Clear Snap-On Lid,Office Supplies,Storage,16,49.51430024
OFF-ST-10001963,Tennsco Regal Shelving Units,Office Supplies,Storage,101.5,108.558074
OFF-LA-10002762,Avery 485,Office Supplies,Labels,12.57142857,41.2352286
OFF-AP-10004980,3M Replacement Filter for Office Air Cleaner for 20' x 33' Room,Office Supplies,Appliances,38,12.25195821
OFF-EN-10003862,Laser & Ink Jet Business Envelopes,Office Supplies,Envelopes,10.5,81.12251847
OFF-ST-10003470,Tennsco Snap-Together Open Shelving Units,Office Supplies,Storage,279.5,116.404897
OFF-LA-10004484,Avery 476,Office Supplies,Labels,4,100.955711
OFF-ST-10002406,Pizazz Global Quick File,Office Supplies,Storage,15,93.29032329
OFF-SU-10004498,Martin-Yale Premier Letter Opener,Office Supplies,Supplies,13,142.1580449
OFF-EN-10000461,"#10- 4 1/8"" x 9 1/2"" Recycled Envelopes",Office Supplies,Envelopes,8.5,77.12710681
OFF-ST-10004186,Stur-D-Stor Shelving,Office Supplies,Storage,111,112.5025903
OFF-LA-10002381,Avery 497,Office Supplies,Labels,3.142857143,47.43089146
OFF-ST-10002583,Fellowes Neat Ideas Storage Cubes,Office Supplies,Storage,32.5,89.23088183
OFF-AP-10001366,Staples,Office Supplies,Appliances,11,116.2634684
OFF-AP-10000891,Kensington 7 Outlet MasterPiece HOMEOFFICE Power Control Center,Office Supplies,Appliances,131,44.52304024
OFF-ST-10001328,Personal Filing Tote with Lid,Office Supplies,Storage,15.5,127.1849053
OFF-AP-10002867,Fellowes Command Center 5-outlet power strip,Office Supplies,Appliances,68,142.0781306
OFF-ST-10001370,Sensible Storage WireTech Storage Systems,Office Supplies,Storage,71,69.38197541
OFF-AP-10001154,Bionaire Personal Warm Mist Humidifier/Vaporizer,Office Supplies,Appliances,47,101.1038465
OFF-ST-10002615,Dual Level,Office Supplies,Storage,155,48.01159609
OFF-SU-10004231,Acme Tagit Stainless Steel Antibacterial Scissors,Office Supplies,Supplies,10,138.3474469
OFF-LA-10004272,Avery 482,Office Supplies,Labels,3,115.5080741
OFF-ST-10003716,Tennsco Double-Tier Lockers,Office Supplies,Storage,225,29.59179195
OFF-EN-10001415,Staples,Office Supplies,Envelopes,5.5,42.18823841
OFF-AP-10002892,Belkin F5C206VTEL 6 Outlet Surge,Office Supplies,Appliances,23,82.86025355
OFF-LA-10003498,Avery 475,Office Supplies,Labels,14.66666667,141.2879647
OFF-FA-10002280,Advantus Plastic Paper Clips,Office Supplies,Fasteners,5,149.1178161
OFF-ST-10003306,Letter Size Cart,Office Supplies,Storage,143,75.97936844
OFF-AP-10000828,Avanti 4.4 Cu. Ft. Refrigerator,Office Supplies,Appliances,181,71.9207044
OFF-ST-10002301,Tennsco Commercial Shelving,Office Supplies,Storage,20,46.81505735
OFF-LA-10002271,Smead Alpha-Z Color-Coded Second Alphabetical Labels and Starter Set,Office Supplies,Labels,3,54.23375051
OFF-EN-10000056,Cameo Buff Policy Envelopes,Office Supplies,Envelopes,62.33333333,134.7526947
OFF-ST-10000046,Fellowes Super Stor/Drawer Files,Office Supplies,Storage,161.5,30.95195387
OFF-ST-10000736,Carina Double Wide Media Storage Towers in Natural & Black,Office Supplies,Storage,81,25.06228341
OFF-ST-10001490,Hot File 7-Pocket,Office Supplies,Storage,178.4,111.97174
OFF-SU-10004782,"Elite 5"" Scissors",Office Supplies,Supplies,8.5,83.65271106
OFF-AP-10002651,Hoover Upright Vacuum With Dirt Cup,Office Supplies,Appliances,289.5,134.3937807
OFF-AP-10002495,Acco Smartsocket Table Surge Protector,Office Supplies,Appliances,62,9.475386692
OFF-SU-10004884,Acme Galleria Hot Forged Steel Scissors with Colored Handles,Office Supplies,Supplies,15.66666667,4.857406513
OFF-AP-10000275,Sanyo Counter Height Refrigerator with Crisper,Office Supplies,Appliances,328.2,149.9129515
OFF-ST-10000060,Fellowes Bankers Box Staxonsteel Drawer File/Stacking System,Office Supplies,Storage,65,40.87411864
OFF-LA-10000452,Avery 488,Office Supplies,Labels,3.25,55.92604364
OFF-FA-10004854,Vinyl Coated Wire Paper Clips in Organizer Box,Office Supplies,Fasteners,11.5,78.08179357
OFF-ST-10000798,2300 Heavy-Duty Transfer File Systems by Perma,Office Supplies,Storage,25,38.08844541
OFF-ST-10004180,Safco Commercial Shelving,Office Supplies,Storage,46.5,56.92780027
OFF-FA-10000992,Acco Clips to Go Binder Clips,Office Supplies,Fasteners,3.666666667,48.58795855
OFF-LA-10001297,Avery 473,Office Supplies,Labels,10.5,146.3201114
OFF-AP-10000692,Fellowes Mighty 8 Compact Surge Protector,Office Supplies,Appliances,20.33333333,135.9076437
OFF-AP-10004487,Kensington 4 Outlet MasterPiece Compact Power Control Center,Office Supplies,Appliances,81.33333333,137.8737339
OFF-ST-10000321,Akro Stacking Bins,Office Supplies,Storage,8,26.48352341
OFF-EN-10001453,Tyvek Interoffice Envelopes,Office Supplies,Envelopes,61,79.69393936
OFF-ST-10002743,SAFCO Boltless Steel Shelving,Office Supplies,Storage,113.6666667,46.79198399
OFF-AP-10002998,Holmes 99% HEPA Air Purifier,Office Supplies,Appliances,21.5,132.2298169
OFF-AP-10003622,Bravo II Megaboss 12-Amp Hard Body Upright,Office Supplies,Appliances,3.25,126.0720909
OFF-ST-10001932,Fellowes Staxonsteel Drawer Files,Office Supplies,Storage,193.25,99.289928
OFF-FA-10003467,Alliance Big Bands Rubber Bands,Office Supplies,Fasteners,2,129.6135797
OFF-AP-10004052,Hoover Replacement Belts For Soft Guard & Commercial Ltweight Upright Vacs,Office Supplies,Appliances,4,35.4895905
OFF-SU-10000952,Fiskars Home & Office Scissors,Office Supplies,Supplies,9,51.25833044
OFF-AP-10000252,Harmony HEPA Quiet Air Purifiers,Office Supplies,Appliances,11.75,132.9765178
OFF-EN-10000483,White Envelopes,Office Supplies,Envelopes,15,50.95731161
OFF-EN-10003072,Peel & Seel Envelopes,Office Supplies,Envelopes,3.8,86.92552974
OFF-AP-10001205,Belkin 5 Outlet SurgeMaster Power Centers,Office Supplies,Appliances,54.42857143,45.00010317
OFF-LA-10003190,Avery 474,Office Supplies,Labels,2.875,92.56401497
OFF-LA-10001404,Avery 517,Office Supplies,Labels,3.5,149.8968883
OFF-AP-10003040,Fellowes 8 Outlet Superior Workstation Surge Protector w/o Phone/Fax/Modem Protection,Office Supplies,Appliances,33.6,40.88600719
OFF-ST-10000419,Rogers Jumbo File,Office Supplies,Storage,13.5,49.39427546
OFF-EN-10001219,"#10- 4 1/8"" x 9 1/2"" Security-Tint Envelopes",Office Supplies,Envelopes,7.5,92.89221389
OFF-AP-10003971,Belkin 6 Outlet Metallic Surge Strip,Office Supplies,Appliances,11,29.01764571
OFF-ST-10000675,File Shuttle II and Handi-File,Office Supplies,Storage,33.88888889,147.2314126
OFF-AR-10003514,4009 Highlighters by Sanford,Office Supplies,Art,4,125.381437
OFF-ST-10000078,Tennsco 6- and 18-Compartment Lockers,Office Supplies,Storage,265.2,138.0381706
OFF-AR-10000034,BIC Brite Liner Grip Highlighters,Office Supplies,Art,4.166666667,9.833431087
OFF-AR-10003338,"Eberhard Faber 3 1/2"" Golf Pencils",Office Supplies,Art,7.5,57.88200569
OFF-AR-10004272,Newell 308,Office Supplies,Art,1.5,48.9835217
OFF-LA-10001641,Avery 518,Office Supplies,Labels,3.166666667,60.38586586
OFF-AR-10003752,Deluxe Chalkboard Eraser Cleaner,Office Supplies,Art,11.5,119.5525336
OFF-AR-10003251,Prang Drawing Pencil Set,Office Supplies,Art,3,132.5593477
OFF-ST-10003058,Eldon Mobile Mega Data Cart  Mega Stackable  Add-On Trays,Office Supplies,Storage,23.7,60.88569655
OFF-SU-10004664,Acme Softgrip Scissors,Office Supplies,Supplies,8.2,63.75372927
OFF-ST-10001228,Fellowes Personal Hanging Folder Files,Office Supplies,Storage,13.5,33.76902782
OFF-SU-10000151,High Speed Automatic Electric Letter Opener,Office Supplies,Supplies,1637.6,98.95222708
OFF-AR-10004602,Boston KS Multi-Size Manual Pencil Sharpener,Office Supplies,Art,23,31.87287171
OFF-AP-10003287,Tripp Lite TLP810NET Broadband Surge for Modem/Fax,Office Supplies,Appliances,51,104.3552528
OFF-AR-10003056,Newell 341,Office Supplies,Art,4.5,97.61642754
OFF-AP-10004785,Holmes Replacement Filter for HEPA Air Cleaner,Office Supplies,Appliances,11.4,21.11486605
OFF-FA-10002988,Ideal Clamps,Office Supplies,Fasteners,2,49.00411828
OFF-FA-10000053,Revere Boxed Rubber Bands by Revere,Office Supplies,Fasteners,2,4.101239567
OFF-LA-10001569,Avery 499,Office Supplies,Labels,5,112.6099801
OFF-EN-10004483,#10 White Business Envelopes,Office Supplies,Envelopes,15.6,34.18943075
OFF-EN-10001539,Staples,Office Supplies,Envelopes,8,92.60651066
OFF-ST-10001713,Gould Plastics 9-Pocket Panel Bin,Office Supplies,Storage,53,78.10408553
OFF-AR-10002135,Boston Heavy-Duty Trimline Electric Pencil Sharpeners,Office Supplies,Art,48.33333333,11.50960471
OFF-AR-10002053,Premium Writing Pencils,Office Supplies,Art,3,125.9443786
OFF-ST-10002370,Sortfiler Multipurpose Personal File Organizer,Office Supplies,Storage,21,88.44830945
