Order_ID,Order_Date,Order_Priority,Customer_ID,Order_Status
CA-2012-117611,2012-11-08,Critical,MZ-173354,pending
CA-2012-120446,2012-11-16,High,JG-158054,shipped
CA-2012-126725,2012-11-17,High,BS-116654,pending
CA-2012-136420,2012-11-20,High,CS-122504,in progress
CA-2012-143490,2012-12-06,Medium,NP-183254,shipped
CA-2012-145065,2012-12-12,Medium,DK-133754,in progress
CA-2012-111780,2012-12-25,High,RA-192854,pending
CA-2013-125850,2013-01-22,Medium,FP-143204,pending
CA-2013-100993,2013-02-05,Medium,AZ-107504,in progress
CA-2013-154053,2013-03-05,Medium,MG-178904,pending
CA-2013-117849,2013-04-16,High,JK-161204,shipped
CA-2013-159345,2013-06-18,High,IG-150854,in progress
CA-2013-100300,2013-06-25,High,MJ-177404,in progress
CA-2013-145625,2013-09-12,Medium,KC-165404,shipped
CA-2013-133935,2013-09-19,High,JW-152204,pending
CA-2013-106656,2013-09-24,High,DV-130454,shipped
CA-2013-144729,2013-10-22,Medium,JE-157454,shipped
CA-2013-109925,2013-11-07,Medium,IM-150704,pending
CA-2013-146325,2013-12-15,Medium,DS-131804,in progress
CA-2014-116498,2014-05-31,High,KA-165254,pending
CA-2014-115364,2014-06-27,Medium,OT-187304,in progress
CA-2014-145429,2014-07-22,High,SW-204554,in progress
CA-2014-105487,2014-10-09,Medium,CS-122504,in progress
CA-2014-123246,2014-10-18,Medium,AJ-109604,in progress
CA-2014-157196,2014-11-06,Medium,AA-106454,in progress
CA-2014-137022,2014-11-17,Medium,SW-202754,shipped
CA-2014-131303,2014-11-29,High,EP-139154,shipped
CA-2014-136875,2014-12-04,High,TC-212954,in progress
CA-2014-126865,2014-12-06,Critical,NP-183254,in progress
CA-2014-169859,2014-12-15,High,MP-181754,shipped
US-2011-103338,2011-03-11,High,RB-194354,pending
CA-2011-157623,2011-03-14,High,DK-132254,in progress
US-2011-131275,2011-03-18,Medium,SC-200504,in progress
CA-2011-100860,2011-03-26,High,CS-125054,pending
US-2011-157021,2011-04-01,Medium,KM-167204,shipped
CA-2011-142979,2011-04-12,Low,EH-137654,pending
CA-2011-166954,2011-04-25,High,BT-113054,in progress
CA-2011-103310,2011-05-10,Medium,GM-146804,shipped
CA-2011-127866,2011-07-20,High,JD-158954,in progress
CA-2011-154669,2011-08-08,Medium,TM-210104,shipped
CA-2011-126522,2011-09-01,High,LT-167654,shipped
CA-2011-109918,2011-09-07,Medium,LR-170354,pending
CA-2011-112851,2011-09-17,Medium,NR-185504,pending
CA-2011-156601,2011-09-19,Medium,FA-142304,shipped
CA-2011-158225,2011-09-22,Medium,SE-201104,pending
CA-2011-153479,2011-10-04,High,DF-131354,shipped
CA-2011-140403,2011-10-10,Critical,TN-210404,pending
CA-2011-157924,2011-10-11,High,HA-149204,shipped
CA-2011-128538,2011-10-11,Medium,AS-102404,pending
US-2011-134187,2011-11-04,Medium,TH-212354,pending
CA-2011-160066,2011-11-16,Medium,AH-100754,pending
CA-2011-164721,2011-11-25,High,LW-168254,in progress
CA-2011-141110,2011-11-26,Medium,LS-172004,pending
CA-2011-113320,2011-12-12,High,LH-171554,in progress
